Country,Region,GDP_In_Million_USD
United States,Americas,"25,346,805"
China,Asia,"19,911,593"
Japan,Asia,"4,912,147"
Germany,Europe,"4,256,540"
United Kingdom,Europe,"3,376,003"
India,Asia,"3,291,398"
France,Europe,"2,936,702"
Canada,Americas,"2,221,218"
Italy,Europe,"2,058,330"
Brazil,Americas,"1,833,274"
Russia,Europe,"1,829,050"
South Korea,Asia,"1,804,680"
Australia,Oceania,"1,748,334"
Iran,Asia,"1,739,012"
Spain,Europe,"1,435,560"
Mexico,Americas,"1,322,740"
Indonesia,Asia,"1,289,295"
Saudi Arabia,Asia,"1,040,166"
Netherlands,Europe,"1,013,595"
Switzerland,Europe,"841,969"
Taiwan,Asia,"841,209"
Poland,Europe,"699,559"
Turkey,Asia,"692,380"
Sweden,Europe,"621,241"
Belgium,Europe,"609,887"
Argentina,Americas,"564,277"
Norway,Europe,"541,938"
Thailand,Asia,"522,012"
Israel,Asia,"520,703"
Ireland,Europe,"516,146"
Nigeria,Africa,"510,588"
United Arab Emirates,Asia,"501,354"
Austria,Europe,"479,815"
Malaysia,Asia,"439,373"
Egypt,Africa,"435,621"
South Africa,Africa,"426,166"
Singapore,Asia,"424,431"
Philippines,Asia,"411,978"
Vietnam,Asia,"408,947"
Denmark,Europe,"399,100"
Bangladesh,Asia,"396,543"
Hong Kong,Asia,"369,486"
Colombia,Americas,"351,281"
Chile,Americas,"317,594"
Finland,Europe,"297,617"
Iraq,Asia,"297,341"
Czech Republic,Europe,"296,238"
Romania,Europe,"286,509"
New Zealand,Oceania,"257,211"
Portugal,Europe,"251,915"
Peru,Americas,"240,346"
Qatar,Asia,"225,716"
Greece,Europe,"222,770"
Hungary,Europe,"197,813"
Kazakhstan,Asia,"193,611"
Algeria,Africa,"193,601"
Kuwait,Asia,"186,610"
Morocco,Africa,"133,062"
Angola,Africa,"124,862"
Slovakia,Europe,"118,434"
Puerto Rico,Americas,"116,762"
Ecuador,Americas,"115,462"
Kenya,Africa,"114,679"
Oman,Asia,"110,127"
Dominican Republic,Americas,"109,080"
Ethiopia,Africa,"105,325"
Guatemala,Americas,"91,019"
Bulgaria,Europe,"89,533"
Luxembourg,Europe,"86,898"
Sri Lanka,Asia,"81,934"
Tanzania,Africa,"77,506"
Turkmenistan,Asia,"76,591"
Ghana,Africa,"73,894"
Azerbaijan,Asia,"73,369"
Uzbekistan,Asia,"73,060"
Ivory Coast,Africa,"73,047"
Panama,Americas,"70,492"
Lithuania,Europe,"69,782"
Croatia,Europe,"69,459"
Myanmar,Asia,"69,262"
Costa Rica,Americas,"65,314"
Serbia,Europe,"65,037"
DR Congo,Africa,"64,795"
Uruguay,Americas,"64,283"
Slovenia,Europe,"63,647"
Belarus,Europe,"59,394"
Venezuela,Americas,"49,086"
Libya,Africa,"48,773"
Jordan,Asia,"47,745"
Uganda,Africa,"46,377"
Cameroon,Africa,"45,713"
Tunisia,Africa,"45,642"
Bahrain,Asia,"44,169"
Paraguay,Americas,"41,935"
Bolivia,Americas,"41,032"
Latvia,Europe,"40,266"
Estonia,Europe,"37,202"
Zimbabwe,Africa,"36,387"
